날짜,시도지역코드,발생건수(건)
20140101,11,5992
20140101,26,3158
20140101,27,2190
20140101,28,3426
20140101,29,2635
20140101,30,2861
20140101,31,1381
20140101,41,13646
20140101,42,1101
20140101,43,2322
20140101,44,2993
20140101,45,4076
20140101,46,4657
20140101,47,2574
20140101,48,4107
20140101,49,1506
20140101,99,58653
20140102,11,101309
20140102,26,42779
20140102,27,26764
20140102,28,30532
20140102,29,16256
20140102,30,16587
20140102,31,14698
20140102,41,132576
20140102,42,13424
20140102,43,15083
20140102,44,24382
20140102,45,26312
20140102,46,22508
20140102,47,28448
20140102,48,38446
20140102,49,6458
20140102,99,556796
20140103,11,84210
20140103,26,34625
20140103,27,21412
20140103,28,24679
20140103,29,13442
20140103,30,13881
20140103,31,11461
20140103,41,108773
20140103,42,12025
20140103,43,12854
20140103,44,20018
20140103,45,21055
20140103,46,18588
20140103,47,23295
20140103,48,30544
20140103,49,5477
20140103,99,456507
20140104,11,74899
20140104,26,30187
20140104,27,19766
20140104,28,22015
20140104,29,11922
20140104,30,12874
20140104,31,10087
20140104,41,96287
20140104,42,8694
20140104,43,10720
20140104,44,16246
20140104,45,17109
20140104,46,14790
20140104,47,18148
20140104,48,25101
20140104,49,4593
20140104,99,393597
20140105,11,7695
20140105,26,4285
20140105,27,2382
20140105,28,4172
20140105,29,2439
20140105,30,2827
20140105,31,1990
20140105,41,17600
20140105,42,1278
20140105,43,2536
20140105,44,2997
20140105,45,3258
20140105,46,3716
20140105,47,2547
20140105,48,3975
20140105,49,1600
20140105,99,65322
20140106,11,108504
20140106,26,43042
20140106,27,27321
20140106,28,30936
20140106,29,16736
20140106,30,17361
20140106,31,14367
20140106,41,135506
20140106,42,13810
20140106,43,15588
20140106,44,25264
20140106,45,26709
20140106,46,23092
20140106,47,29052
20140106,48,38457
20140106,49,6928
20140106,99,572911
20140107,11,75304
20140107,26,30753
20140107,27,19125
20140107,28,22394
20140107,29,12112
20140107,30,12489
20140107,31,10363
20140107,41,96185
20140107,42,10396
20140107,43,11819
20140107,44,18334
20140107,45,18444
20140107,46,17282
20140107,47,20665
20140107,48,26987
20140107,49,5297
20140107,99,408131
20140108,11,72880
20140108,26,27554
20140108,27,18393
20140108,28,21241
20140108,29,11151
20140108,30,12146
20140108,31,9329
20140108,41,90880
20140108,42,9416
20140108,43,10948
20140108,44,17091
20140108,45,17086
20140108,46,16058
20140108,47,19092
20140108,48,24150
20140108,49,4890
20140108,99,382455
20140109,11,68903
20140109,26,29320
20140109,27,17938
20140109,28,19883
20140109,29,11369
20140109,30,11872
20140109,31,9597
20140109,41,87804
20140109,42,9387
20140109,43,10180
20140109,44,16724
20140109,45,17113
20140109,46,15828
20140109,47,19189
20140109,48,26213
20140109,49,4816
20140109,99,376286
20140110,11,79318
20140110,26,30807
20140110,27,19458
20140110,28,22240
20140110,29,12172
20140110,30,12647
20140110,31,10105
20140110,41,96576
20140110,42,10275
20140110,43,11517
20140110,44,17600
20140110,45,18711
20140110,46,16934
20140110,47,20356
20140110,48,26989
20140110,49,5415
20140110,99,411291
20140111,11,72582
20140111,26,28135
20140111,27,18930
20140111,28,21438
